item_id,title,artist,album,genre,tags,description
31,Karma Police,Radiohead,OK Computer,alternative rock,"90s classic eerie","haunting piano-led track that swells into an ominous singalong"
32,No Surprises,Radiohead,OK Computer,alternative rock,"lullaby dystopian","glockenspiel lullaby about burnout and suburban dread"
33,Paranoid Android,Radiohead,OK Computer,alternative rock,"epic multi-part","shapeshifting six-minute odyssey with riffs, choirs, and chaos"
34,Show Me How,Men I Trust,Oncle Jazz,dream pop,"smooth bassy","chill bass-driven groove with airy vocals and hypnotic rhythm"
35,Numb,Men I Trust,Oncle Jazz,dream pop,"moody late-night","understated track with rubbery bass and lyrics about burnout"
36,Lauren,Men I Trust,Lauren - Single,dream pop,"groovy hypnotic","soft danceable groove with a looping guitar line and gentle vocals"
37,Art House,Malcolm Todd,Art House - Single,indie pop,"playful cinematic","upbeat song with quirky production and film-inspired lyrics"
38,Roommates,Malcolm Todd,Roommates - Single,indie pop,"storytelling bedroom","conversational lyrics about messy living and friendship over bouncy guitars"
39,Steeeam,Shelly,Shelly EP,bedroom pop,"underwater reverb","swirly lo-fi track drenched in reverb that feels like a warm bath"
40,You Know It’s True,Shelly,Shelly EP,bedroom pop,"soft duet hazy","gentle group vocals floating over woozy synths"
41,bad,wave to earth,0.1 flaws and all,indie rock,"lo-fi groovy","relaxed groove with crunchy drums and dreamy guitar lines"
42,seasons,wave to earth,0.1 flaws and all,indie rock,"melancholic airy","windy-sounding guitars and wistful vocals about passing time"
43,Good Looking,Suki Waterhouse,I Can’t Let Go,indie rock,"retro-tinged romantic","smoky vocals over a slow, cinematic groove about infatuation"
44,Melrose Meltdown,Suki Waterhouse,I Can’t Let Go,indie rock,"LA heartbreak","sad glam track about falling apart in a glittery city"
45,like i need u,Keshi,skeletons,R&B,"lo-fi heartbreak","sparse beat and echoing guitar with confessional late-night lyrics"
46,skeletons,Keshi,skeletons,R&B,"moody atmospheric","layered falsetto vocals over atmospheric production about buried feelings"
47,Good Luck Babe!,Chappell Roan,The Rise and Fall of a Midwest Princess,pop,"queer anthem dramatic","huge 80s-pop chorus about watching an ex repeat old patterns"
48,Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,pop,"maximalist glittery","hyper-dramatic party track with massive hooks and campy flair"
49,Bad Habit,Steve Lacy,Gemini Rights,indie R&B,"viral groovy","laid-back guitar jam about missed chances and overthinking"
50,Dark Red,Steve Lacy,Steve Lacy’s Demo,indie R&B,"lo-fi jealous","grainy bedroom recording with a paranoid, pleading hook"
51,Let You Break My Heart Again,Laufey,Typical of Me,jazz pop,"nostalgic orchestral","longing jazz ballad with lush strings and heartfelt delivery"
52,Street by Street,Laufey,Typical of Me,jazz pop,"cinematic sad","slow emotional build with rich orchestration"
53,Dear Soulmate,Laufey,Bewitched,jazz pop,"soft intimate","daydreamy letter-like love song"
54,Beautiful Stranger,Laufey,Everything I Know About Love,jazz pop,"romantic waltz","delicate storytelling over vintage instrumentation"
55,Love Sick,Laufey,Bewitched,jazz pop,"mellow dreamy","gentle romantic track floating over tender strings"
56,Talk,Beabadoobee,Beatopia,indie rock,"gritty upbeat","90s alt-rock inspired track with emotional punch"
57,He Gets Me So High,Beabadoobee,Space Cadet EP,indie rock,"fuzzy energetic","fun fast-paced crush anthem"
58,She Plays Bass,Beabadoobee,Space Cadet EP,indie rock,"bouncy sweet","catchy song dedicated to a close friend"
59,Worth It,Beabadoobee,Fake It Flowers,indie rock,"moody nostalgic","slow-burning emotional track with grunge edges"
60,Ode to You,Beabadoobee,Beatopia,indie pop,"soft sweet","quiet guitar ballad with airy vocals"
61,Shark Smile,Big Thief,Capacity,indie rock,"storytelling haunting","driving tragic romance narrative"
62,Paul,Big Thief,Masterpiece,indie folk,"raw vulnerable","intimate acoustic confession"
63,Real Love,Big Thief,Masterpiece,indie folk,"expansive emotional","slow-build song with trembling vocals"
64,Mary,Big Thief,Capacity,indie folk,"piano sweeping","theatrical ballad with vivid imagery"
65,Mythological Beauty,Big Thief,Capacity,indie rock,"personal poetic","detailed emotional storytelling about childhood"
66,Softly,Clairo,Sling,indie pop,"soft retro","dreamy track with 70s-inspired production"
67,Amoeba,Clairo,Sling,indie pop,"groovy mellow","hazy groove about burnout and avoidance"
68,Blouse,Clairo,Sling,indie folk,"haunting vulnerable","breathy vocals over minimal strings"
69,North,Clairo,Sling,indie folk,"warm introspective","folky reflection on change and comfort"
70,Harbor,Clairo,Sling,indie folk,"gentle cozy","soft piano-led track full of emotional warmth"
71,First Love / Late Spring,Mitski,Bury Me at Makeout Creek,indie rock,"angsty ethereal","dramatic track with soaring finale"
72,Francis Forever,Mitski,Bury Me at Makeout Creek,indie rock,"distorted longing","short loud plea for connection"
73,Happy,Mitski,Puberty 2,indie rock,"unsettling poetic","moody alt-rock track about fleeting joy"
74,Heat Lightning,Mitski,Laurel Hell,indie pop,"dreamy anxious","sweeping synths mimic emotional exhaustion"
75,Lonesome Love,Mitski,Be the Cowboy,indie rock,"biting witty","twangy track with sharp lyricism"
76,Kyoto,Phoebe Bridgers,Punisher,indie rock,"uplifting sad","fast-paced self-reflective anthem"
77,ICU,Phoebe Bridgers,Punisher,indie rock,"emotional raw","soft ballad about complicated love"
78,Chinese Satellite,Phoebe Bridgers,Punisher,indie rock,"existential urgent","quiet start exploding into cathartic noise"
79,Georgia,Phoebe Bridgers,Stranger in the Alps,indie folk,"romantic stripped","whispery emotional confession"
80,Demi Moore,Phoebe Bridgers,Stranger in the Alps,indie folk,"minimal melancholic","soft atmospheric meditation on loneliness"
81,True Blue,boygenius,the record,indie rock,"heartfelt warm","soft alt-folk ballad about unconditional love"
82,Not Strong Enough,boygenius,the record,indie rock,"anthemic layered","bright energetic track about self-doubt"
83,$20,boygenius,the record,indie rock,"chaotic loud","explosive guitars with overlapping vocal climax"
84,Emily I’m Sorry,boygenius,the record,indie rock,"tender regret","fragile soft track full of apology"
85,Revolution 0,boygenius,the record,indie folk,"dreamy sad","gentle lullaby-like meditation on isolation"
86,The Blonde,TV Girl,Who Really Cares,indie pop,"sample-heavy groovy","playful track with ironic lyrical delivery"
87,Blue Hair,TV Girl,Who Really Cares,indie pop,"coming-of-age nostalgic","melancholy but catchy story-driven song"
88,The Getaway,TV Girl,Who Really Cares,indie pop,"sunny bitter","upbeat song hiding heartbreak"
89,A Lonely Night in Spain,TV Girl,The Night In Question,indie pop,"retro cinematic","dramatic narrative-driven track"
90,He's Using You,TV Girl,Who Really Cares,indie pop,"bittersweet catchy","sharp lyrics over warm samples"
91,Jónny,Faye Webster,I Know I'm Funny haha,indie folk,"slow tearful","aching song with steel guitar and longing vocals"
92,Feeling Good Today,Faye Webster,Faye Webster,indie folk,"playful breezy","soft melodic track with easygoing charm"
93,Better Distractions,Faye Webster,I Know I'm Funny haha,indie pop,"wistful comfy","smooth mellow groove about avoidance"
94,Is It Too Much to Ask,Faye Webster,Atlanta Millionaires Club,indie folk,"sad dreamy","airy track about wanting more from someone"
95,Kind Of,Faye Webster,I Know I'm Funny haha,indie folk,"delicate introspective","light guitars frame emotional honesty"
96,Call Me,The Marías,CINEMA,dream pop,"whispery seductive","breathy vocals over warm pulsating synths"
97,Little By Little,The Marías,CINEMA,dream pop,"groovy subtle","soft rhythmic track full of tension and warmth"
98,Clueless,The Marías,Superclean Vol. I,dream pop,"retro smooth","shimmering bass and understated vocals"
99,Over The Moon,The Marías,CINEMA,dream pop,"romantic floaty","soft glowing instrumentation with dreamy vocals"
100,Heavy,The Marías,Superclean Vol. I,dream pop,"sultry moody","slow-burning hazy soundscape"
101,Weird Fishes/Arpeggi,Radiohead,In Rainbows,alternative rock,"mesmerizing layered","spiraling guitars create an underwater feeling"
102,House of Cards,Radiohead,In Rainbows,alternative rock,"warm atmospheric","soft melody drifting through reverb"
103,Reckoner,Radiohead,In Rainbows,alternative rock,"ethereal rhythmic","delicate falsetto layered over airy percussion"
104,High and Dry,Radiohead,The Bends,alternative rock,"classic emotional","acoustic-driven breakup anthem"
105,Fake Plastic Trees,Radiohead,The Bends,alternative rock,"haunting iconic","slow-building emotional release"
106,Pines,Men I Trust,Oncle Jazz,dream pop,"soft breezy","uplifting track with smooth bass grooves"
107,Found Me,Men I Trust,Untourable Album,dream pop,"moody spacious","gliding bass with hushed vocals"
108,Organon,Men I Trust,Untourable Album,dream pop,"vaporous warm","slow hazy progression with soft edges"
109,Once Again,Men I Trust,Oncle Jazz,dream pop,"delicate sweet","gentle melody with swirling synths"
110,Show Me How (Demo),Men I Trust,Untourable Album,dream pop,"minimal intimate","stripped back, intimate take"
111,Golden Hour,Malcolm Todd,Golden Hour - Single,indie pop,"bright upbeat","glittery production with catchy melodies"
112,Love Don’t Cost A Dime,Malcolm Todd,Single,indie pop,"romantic fun","smooth vocals over a playful beat"
113,Missed Calls,Malcolm Todd,Single,indie pop,"nostalgic energetic","storytelling track about longing and connection"
114,Could Be Wrong,Malcolm Todd,Single,indie pop,"soft reflective","reflective song with layered harmonies"
115,Cardigan Weather,Malcolm Todd,Single,indie pop,"warm cozy","seasonal gentle track with dreamy production"
116,Redbone,Shelly,Shelly EP,bedroom pop,"dreamy mellow","soft lush reverb-filled arrangement"
117,Surely,Shelly,Shelly EP,bedroom pop,"intimate floaty","soft harmonies drifting over slow synths"
118,Please Don’t Go,Shelly,Shelly EP,bedroom pop,"heartfelt warm","lo-fi tune about longing and hope"
119,Sunset,Shelly,Shelly EP,bedroom pop,"soft dreamy","serene track with tranquil pacing"
120,Take It Easy,Shelly,Shelly EP,bedroom pop,"chill comforting","minimalist track with gentle textures"
121,"Love, wave to earth",wave to earth,0.1 flaws and all,indie rock,"dreamy gentle","soft guitars and airy vocal layers"
122,peel,wave to earth,0.1 flaws and all,indie rock,"minimal lush","delicate track with warm tones"
123,summer flows,wave to earth,single,indie rock,"breezy ethereal","summerlike guitar melodies with calm vocals"
124,homesick,wave to earth,single,indie rock,"nostalgic rainy-day","aching soft rock with a slow groove"
125,light,wave to earth,single,indie rock,"ambient tender","soft shimmering guitar textures"
126,Slip,Suki Waterhouse,I Can’t Let Go,indie rock,"soft dramatic","slow dreamy track full of emotional build"
127,OMG,Suki Waterhouse,Milk Teeth,indie pop,"retro hazy","echoing vocals paired with swirling guitars"
128,Johanna,Suki Waterhouse,Your Love Is Driving Me Insane,indie pop,"vintage sad","melancholy romantic atmosphere"
129,Wild Side,Suki Waterhouse,I Can’t Let Go,indie pop,"sultry moody","slow seductive sonic palette"
130,Good Looking (Demo),Suki Waterhouse,I Can’t Let Go,indie folk,"raw intimate","stripped version highlighting vocals"
131,beside you,keshi,always,R&B,"chill dreamy","gentle layered vocals and smooth production"
132,limbo,keshi,blue,R&B,"dark introspective","moody song diving into existential themes"
133,right here,keshi,blue,R&B,"romantic honest","soft vocals over atmospheric beats"
134,westside,keshi,always,R&B,"lo-fi warm","stripped emotional love track"
135,Us,keshi,Gabriel,R&B,"cinematic emotional","dramatic mix of strings and R&B production"
136,My Kink Is Karma,Chappell Roan,Midwest Princess,pop,"sassy bold","fiery pop track full of attitude"
137,Super Graphic Ultra Modern Girl,Chappell Roan,Midwest Princess,pop,"high-energy sparkly","hyper-catchy glittery pop"
138,Hot to Go!,Chappell Roan,Midwest Princess,pop,"cheerleader camp","fun infectious dance-pop anthem"
139,Kalopsia,Chappell Roan,Midwest Princess,pop,"dark theatrical","melancholy, theatrical slow-burner"
140,Pink Pony Club,Chappell Roan,Single,pop,"queer disco","epic emotional disco story-song"
141,Static,Steve Lacy,Demo,indie R&B,"smooth groovy","lo-fi groove with warm guitar tones"
142,Infrunami,Steve Lacy,The Lo-Fis,indie R&B,"retro romantic","psychedelic R&B slow jam"
143,N Side,Steve Lacy,Single,indie R&B,"sensual airy","soft falsetto over minimalist production"
144,Mercury,Steve Lacy,Gemini Rights,indie R&B,"playful sharp","offbeat groove with quirky rhythms"
145,Playground,Steve Lacy,Apollo XXI,indie R&B,"fun colorful","bright bouncy track full of swagger"
146,Like the Movies,Laufey,Everything I Know About Love,jazz pop,"romantic cinematic","classic film-inspired ballad"
147,Everything I Know About Love,Laufey,Everything I Know About Love,jazz pop,"coming-of-age soft","beautiful personal storytelling"
148,Falling Behind,Laufey,Bewitched,jazz pop,"melancholic sweet","soft realization of falling behind peers"
149,Promise,Laufey,Bewitched,jazz pop,"aching vulnerable","gentle orchestration with emotional clarity"
150,Haunted,Laufey,Bewitched,jazz pop,"dark dreamy","haunting waltz-like melody about love and memory"
151,Valentine (Acoustic),Laufey,Valentine - Single,jazz pop,"minimal tender","stripped arrangement highlighting soft vocals"
152,Fragile,Laufey,Bewitched,jazz pop,"wistful delicate","slow emotional ballad layered with strings"
153,Night Light,Laufey,Typical of Me,jazz pop,"soft warm","gentle lullaby-like tune with cozy atmosphere"
154,Someone New,Laufey,Everything I Know About Love,jazz pop,"quiet reflective","soft piano chords and heartfelt lyricism"
155,Let You In,Laufey,Bewitched,jazz pop,"romantic intimate","dreamy melody floating over orchestral backdrop"
156,Back to Mars,Beabadoobee,Patched Up,indie folk,"wholesome sweet","soft ukulele-driven early track"
157,Sorry,Beabadoobee,Fake It Flowers,indie rock,"apologetic emotional","grungy guitars with a vulnerable chorus"
158,Disappear,Beabadoobee,Our Extended Play,indie pop,"clean bright","synthy light pop about insecurity"
159,Cologne,Beabadoobee,Beatopia,indie rock,"messy raw","distorted guitars with a gritty 2000s feel"
160,The Way Things Go,Beabadoobee,Single,indie pop,"yearning soft","mellow reflection on change and heartbreak"
161,Contact,Big Thief,Dragon New Warm Mountain…,indie rock,"expansive warm","breezy folk-rock with dreamy energy"
162,Spud Infinity,Big Thief,Dragon New Warm Mountain…,indie folk,"playful cosmic","quirky fiddle-driven tune"
163,Certainty,Big Thief,Dragon New Warm Mountain…,indie folk,"glowing hopeful","nostalgic golden-hour acoustic warmth"
164,Time Escaping,Big Thief,Dragon New Warm Mountain…,indie rock,"percussive experimental","unusual rhythms with earthy textures"
165,Dried Roses,Big Thief,Capacity,indie folk,"minimal heartbreaking","quiet intimate heartbreak song"
166,Zinnias,Clairo,Sling,indie folk,"soft warm","hazy nostalgic tune with gentle acoustic touches"
167,Just For Today,Clairo,Sling,indie folk,"emotional raw","confessional lyrics paired with sparse arrangement"
168,Wade,Clairo,Sling,indie folk,"cozy mellow","folky slow track with soft harmonies"
169,Partridge,Clairo,Sling,indie folk,"airy thoughtful","soft vocals glide over warm acoustic chords"
170,Astronomy,Clairo,Sling,indie folk,"slow sentimental","romantic but heartbreaking long-distance reflection"
171,A Pearl,Mitski,Be the Cowboy,indie rock,"dramatic emotional","swirling track about inner struggle"
172,Working for the Knife,Mitski,Laurel Hell,indie rock,"moody industrial","sharp pop-rock critique of career pressure"
173,Geyser,Mitski,Be the Cowboy,indie rock,"explosive powerful","mini symphony of swelling emotion"
174,Stay Soft,Mitski,Laurel Hell,indie pop,"dark seductive","glittery pop veneer over heavy themes"
175,Should've Been Me,Mitski,Laurel Hell,indie pop,"catchy sad","sparkly sad-pop about regret"
176,Moon Song,Phoebe Bridgers,Punisher,indie folk,"aching romantic","heart-crushing slow ballad"
177,Graceland Too,Phoebe Bridgers,Punisher,indie folk,"banjo hopeful","bright Americana with emotional depth"
178,Savior Complex,Phoebe Bridgers,Punisher,indie folk,"soft tragic","floating strings and quiet devastation"
179,Killer,Phoebe Bridgers,Killer EP,indie folk,"haunting sparse","soft piano-centric confession"
180,Would You Rather,Phoebe Bridgers,Stranger in the Alps,indie folk,"duet tender","intimate duet coated in vulnerability"
181,Leonard Cohen,boygenius,the record,indie folk,"minimal poetic","literary reflective track with sweet harmonies"
182,We're In Love,boygenius,the record,indie folk,"slow intimate","whispery vows told through bare vocals"
183,Letter to an Old Poet,boygenius,the record,indie folk,"emotional cathartic","gentle build into powerful closing chorus"
184,Cool About It,boygenius,the record,indie folk,"soft resigned","folky harmonies about pretending not to care"
185,Powers,boygenius,the record,indie folk,"nostalgic soft","quiet track reflecting on childhood and wonder"
186,Lonely Girls,TV Girl,French Exit,indie pop,"retro catchy","light bop about romantic disillusionment"
187,Natalie Wood,TV Girl,Who Really Cares,indie pop,"dreamy cinematic","nostalgic Hollywood-inspired storytelling"
188,Hate Yourself,TV Girl,Who Really Cares,indie pop,"ironic playful","upbeat instrumental over biting lyrics"
189,If You Want It,TV Girl,Who Really Cares,indie pop,"warm hypnotic","catchy repetition anchored by samples"
190,Birds Don’t Sing,TV Girl,French Exit,indie pop,"nostalgic sad","groovy beat hiding heartbreak themes"
191,Enemy,Faye Webster,I Know I'm Funny haha,indie folk,"soft lilting","gentle soft-rock track about difficult bonds"
192,Half of Me,Faye Webster,I Know I'm Funny haha,indie folk,"slow yearning","quiet heartbreak with warm production"
193,Say It Now,Faye Webster,Atlanta Millionaires Club,indie folk,"romantic laid-back","slow expressive track driven by steel guitar"
194,What’s the Use,Faye Webster,Atlanta Millionaires Club,indie folk,"breezy melancholy","soft jazz-folk blend"
195,Room Temperature,Faye Webster,I Know I'm Funny haha,indie pop,"warm dreamy","soft simple groove with reflective lyrics"
196,All I Really Want Is You,The Marías,CINEMA,dream pop,"sultry intimate","slow seductive vocals and soft synths"
197,Déjate Llevar,The Marías,Superclean Vol. I,dream pop,"latin-infused mellow","slow hazy bilingual track"
198,Only in My Dreams,The Marías,Superclean Vol. II,dream pop,"retro cinematic","cozy mellow sound with lush textures"
199,Calling U Back,The Marías,CINEMA,dream pop,"moody emotional","mid-tempo groove with dreamy vocals"
200,Hable con Ella,The Marías,Superclean Vol. II,dream pop,"bilingual hazy","soft slow tune drifting between languages"
201,Lotus Flower,Radiohead,The King of Limbs,alternative rock,"groovy hypnotic","percussive dance-like rhythm with falsetto"
202,All I Need,Radiohead,In Rainbows,alternative rock,"aching atmospheric","strong emotional crescendo"
203,Weird Fishes (Live),Radiohead,In Rainbows Live,alternative rock,"mesmerizing layered","live version with raw energy"
204,Glass Eyes,Radiohead,A Moon Shaped Pool,alternative rock,"orchestral delicate","whispery vocals over haunting strings"
205,Daydreaming,Radiohead,A Moon Shaped Pool,alternative rock,"slow ethereal","piano-led dream sequence with emotional weight"
206,Yuletide,Men I Trust,Single,dream pop,"soft warm","cozy holiday-tinged track with smooth bassline"
207,Seven,Men I Trust,Oncle Jazz,dream pop,"minimal serene","slow comforting tune with gentle groove"
208,Dune,Men I Trust,Oncle Jazz,dream pop,"driving mellow","steady beat with drifting vocals"
209,Stay True,Men I Trust,Untourable Album,dream pop,"nostalgic lush","rich airy harmonies layered over soft guitars"
210,Porcelain,Eddie,Untourable Album,dream pop,"warm dreamy","gentle soft track with soothing vocals"
211,Thunder,Malcolm Todd,Single,indie pop,"bright catchy","upbeat track with infectious hook"
212,Forget You Now,Malcolm Todd,Single,indie pop,"sad groovy","melancholy dance-pop vibe"
213,Orange Juice,Malcolm Todd,Single,indie pop,"warm fresh","lighthearted production with sweet imagery"
214,Double Take,Malcolm Todd,Single,indie pop,"bouncy fun","cute love song with bubbly synths"
215,Consideration,Malcolm Todd,Single,indie pop,"emotional reflective","gentle mellow ballad"
216,Soft Skin,Shelly,Shelly EP,bedroom pop,"warm intimate","whispery layered vocals over cozy production"
217,Later,Shelly,Shelly EP,bedroom pop,"slow contemplative","emotionally soft and echoing"
218,Time Machine,Shelly,Shelly EP,bedroom pop,"dreamy floaty","drifting chords with lo-fi textures"
219,Cherish,Shelly,Shelly EP,bedroom pop,"romantic gentle","soft harmonies with nostalgic warmth"
220,Not Yet,Shelly,Shelly EP,bedroom pop,"minimal serene","simple production focusing on vocals"
221,flowers,wave to earth,The Hourglass,indie rock,"dreamy warm","hazy guitars and soft vocals"
222,bonfire,wave to earth,The Hourglass,indie rock,"lo-fi cozy","crackling textures and soft rhythms"
223,ombre,wave to earth,The Hourglass,indie rock,"soft drifting","airy tune with glowing ambience"
224,love comes and goes,wave to earth,single,indie rock,"reflective mellow","calm smooth melancholy"
225,calla,wave to earth,single,indie rock,"minimal ethereal","floating soft-rock soundscape"
226,To Love,Suki Waterhouse,I Can’t Let Go,indie pop,"romantic aching","glossy vocals with cinematic build"
227,Obsession,Suki Waterhouse,Single,indie pop,"dramatic moody","slow seductive ballad"
228,Moves,Suki Waterhouse,Milk Teeth,indie pop,"warm dreamy","hazy guitars and soft vocals"
229,OMG (Alternate Version),Suki Waterhouse,Milk Teeth,indie pop,"nostalgic lush","expanded take with richer production"
230,Neon Signs,Suki Waterhouse,Single,indie pop,"glittery atmospheric","moody neon-inspired vibe"
231,blue,keshi,blue,R&B,"airy sad","mournful falsetto over atmospheric production"
232,hell/ heaven,keshi,Gabriel,R&B,"cinematic introspective","emotional lyrics over dramatic synths"
233,angostura,keshi,bandages,R&B,"dark moody","slow track with rich sonic textures"
234,blueberry,keshi,always,R&B,"warm gentle","romantic acoustic-leaning ballad"
235,less of you,keshi,Gabriel,R&B,"emotional crisp","sparse production highlighting heartbreak"
236,Red Wine Supernova (Live),Chappell Roan,Live,pop,"explosive charismatic","huge vocals and theatrical flair"
237,California,Chappell Roan,Midwest Princess,pop,"dreamy bittersweet","soft emotional west-coast fantasy"
238,Picture You,Phoebe Bridgers,Punisher Deluxe,indie folk,"soft intimate","alternate gentle mix of emotional tune"
239,St. Louis,Chappell Roan,Midwest Princess,pop,"melancholic powerful","ballad with soaring chorus"
240,Love Me Anyway,Chappell Roan,Midwest Princess,pop,"poetic vulnerable","soft heartbreaking piano-led song"
241,Only If,Steve Lacy,Apollo XXI,indie R&B,"minimal mellow","sweet short intro track with dreamy vocals"
242,Hate Me More,Steve Lacy,Gemini Rights,indie R&B,"energetic sharp","fast-paced track with bite"
243,Basement Jack,Steve Lacy,Gemini Rights,indie R&B,"funky warm","groovy bassline and soulful vocals"
244,Uuu,Steve Lacy,The Lo-Fis,indie R&B,"chill vibey","lo-fi love song with gentle guitar"
245,Ride,Steve Lacy,Apollo XXI,indie R&B,"psychedelic smooth","swirling production with warm tone"
246,Like You Do,Laufey,Typical of Me,jazz pop,"romantic cinematic","lush instrumentation and emotional storytelling"
247,Street by Street (Live),Laufey,Live,jazz pop,"raw emotional","orchestral live rendition with heightened intensity"
248,Dreamer,Laufey,Bewitched,jazz pop,"soft elegant","classic jazz-inspired tune with dreamy strings"
249,Second Nature,Beabadoobee,Beatopia,indie pop,"bright melodic","lively soft-pop groove with catchy chorus"
250,The Hardest Part,Beabadoobee,Beatopia,indie rock,"nostalgic cozy","soft guitar-led track about youth and heartbreak"
